,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price
228,Accounting Essentials,58463,Self-paced on your time,Imperial College Business School-Imperial College London,Jeremy Fernando,Introductory,Business & Management,English,English,3–5 hours per week,6,79.0
229,Introduction to Java Programming: Starting to code in Java,325554,Self-paced on your time,Universidad Carlos III de Madrid,Carlos Delgado Kloos-Carmen Fernández Panadero-Iria Estévez-Ayres-Jorge Blasco,Introductory,Computer Science,English,"English, Español, Português, 中文",7–10 hours per week,5,149.0
230,European Paintings: From Leonardo to Rembrandt to Goya,60734,Self-paced on your time,Universidad Carlos III de Madrid,Alejandro Vergara,Introductory,Humanities,English,English,2–3 hours per week,7,99.0
231,Java Programming Fundamentals,12042,Self-paced on your time,Universidad Galileo,Jorge Vargas-Victor Orozco,Intermediate,Engineering,English,English,8–10 hours per week,5,49.0
232,"Hollywood: History, Industry, Art",50033,Self-paced on your time,University of Pennsylvania,Peter Decherney,Introductory,Communication,English,English,3–4 hours per week,4,169.0
233,Data Science Tools,15627,Self-paced on your time,IBM,Romeo Kienzler-Svetlana Levitan-Maureen McElaney,Introductory,Data Analysis & Statistics,English,English,3–7 hours per week,7,39.0
234,Statistical Thinking for Data Science and Analytics,198861,Self-paced on your time,Columbia University,Andrew Gelman-David Madigan-Lauren Hannah-Eva Ascarza,Introductory,Computer Science,English,English,7–10 hours per week,5,99.0
235,Philosophy and Critical Thinking,97175,Self-paced on your time,The University of Queensland,Professor Deborah Brown-Dr Peter Ellerton,Introductory,Humanities,English,English,1–4 hours per week,6,99.0
236,International Law,91868,Self-paced on your time,Université catholique de Louvain,Pierre d’Argent,Advanced,Law,English,English,6–8 hours per week,12,150.0
237,Tourism and Travel Management,38503,Self-paced on your time,The University of Queensland,Sara Dolnicar-Sally Driml-Sheranne Fairley-Karen Hughes,Introductory,Business & Management,English,English,2–3 hours per week,7,5.0
238,Project Management Life Cycle,120019,Self-paced on your time,Rochester Institute of Technology,Leonie Fernandes,Intermediate,Business & Management,English,English,8–12 hours per week,10,150.0
239,Solar Energy,125069,Self-paced on your time,Delft University of Technology,Arno Smets,Introductory,Engineering,English,English,6–8 hours per week,8,50.0
240,Public Speaking,10129,Self-paced on your time,Rochester Institute of Technology,Keith B. Jenkins,Introductory,Communication,English,English,4–6 hours per week,3,199.0
241,Japanese Pronunciation for Communication,62757,Self-paced on your time,Waseda University,Takako Toda,Introductory,Communication,日本語,"English, 日本語, 한국어, 中文",3–5 hours per week,5,99.0
242,Mindfulness and Resilience to Stress at Work,33414,Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Business & Management,English,English,1–2 hours per week,4,199.0
243,Framing Your Communication to Inspire and Convince,49351,Self-paced on your time,Delft University of Technology,Hans de Bruijn-Jet Pagnier,Intermediate,Business & Management,English,English,4–5 hours per week,5,125.0
244,Business Foundations,55154,Self-paced on your time,University of British Columbia,Elicia Salzberg,Introductory,Business & Management,English,English,3–5 hours per week,6,150.0
245,The Chemistry of Life,78704,Self-paced on your time,Kyoto University,Motonari Uesugi,Introductory,Biology & Life Sciences,English,English,2–3 hours per week,13,49.0
246,Nutrition and Health: Micronutrients and Malnutrition,78266,Self-paced on your time,Wageningen University & Research,Sander Kersten-Alida Melse-Inge Brouwer-Guido Hooiveld,Intermediate,Biology & Life Sciences,English,English,6–8 hours per week,7,99.0
247,Digital Design,12339,Self-paced on your time,The Hong Kong University of Science and Technology,Ravindra Goonetilleke-Sai-Kit Yeung,Introductory,Design,English,English,5–6 hours per week,5,50.0
248,Machine Learning for Data Science and Analytics,140419,Self-paced on your time,Columbia University,Ansaf Salleb-Aouissi-Cliff Stein-David Blei-Itsik Peer,Introductory,Computer Science,English,English,7–10 hours per week,5,99.0
249,The Science of Everyday Thinking,318399,Self-paced on your time,The University of Queensland,Emma MacKenzie-Jason Tangen-Matthew Thompson,Introductory,Business & Management,English,English,2–3 hours per week,12,99.0
250,Gestion de projets de développement,41663,Self-paced on your time,Inter-American Development Bank,Gentile Senat-Vanessa Sayos del Castillo-Ernesto Mondelo,Intermediate,Business & Management,Français,Français,3–4 hours per week,10,25.0
251,Product Management Fundamentals,11913,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",James Green,Introductory,Business & Management,English,English,2–3 hours per week,4,199.0
252,International Human Rights Law,74424,Self-paced on your time,Université catholique de Louvain,Olivier De Schutter,Advanced,Law,English,English,6–8 hours per week,12,150.0
253,The Best Start in Life: Early Childhood Development for Sustainable Development,23139,Self-paced on your time,SDG Academy,Hirokazu Yoshikawa-Jack Shonkoff-Aisha Yousafzai-Catherine Tamis-LeMonda,Intermediate,Education & Teacher Training,English,"اللغة العربية, English, Español, हिन्दी, Português",2–4 hours per week,8,49.0
254,Data Science and Machine Learning Capstone Project,21809,Self-paced on your time,IBM,Sourav Mazumder-Linda Liu-Alex Aklson,Intermediate,Data Analysis & Statistics,English,English,3–4 hours per week,6,99.0
255,"Data Science for Construction, Architecture and Engineering",11113,Self-paced on your time,The National University of Singapore,Clayton Miller,Introductory,Data Analysis & Statistics,English,English,4–6 hours per week,7,199.0
256,"Nutrition, Heart Disease and Diabetes",24986,Self-paced on your time,Wageningen University & Research,Marianne Geleijnse-Leanne Küpers-Dr. Marco Mensink,Intermediate,Food & Nutrition,English,English,6–8 hours per week,5,99.0
257,Project Management for Development,62099,Self-paced on your time,Inter-American Development Bank,Claudia Baca-Ernesto Mondelo,Intermediate,Business & Management,English,English,3–4 hours per week,10,49.0
258,Introduction to Cloud Infrastructure Technologies,86923,Self-paced on your time,The Linux Foundation,Chris Pokorni-Chip Childers-Neependra Khare,Introductory,Computer Science,English,English,3–4 hours per week,14,169.0
259,"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",13566,Self-paced on your time,Wageningen University & Research,Prof.dr.ir. Louise O. Fresco-Dr. Kim Poldner-Dr. Nishant Shah-Paulien Harmsen MSc,Introductory,Art & Culture,English,English,4–6 hours per week,5,65.0
260,Machine Learning,150855,Instructor-led on a course schedule,Columbia University,John W. Paisley,Advanced,Computer Science,English,English,8–10 hours per week,12,249.0
261,Introducción a la gestión de proyectos,98517,Self-paced on your time,Universitat Politècnica de Valencia,Alberto Palomares Chust,Introductory,Business & Management,Español,Español,4–5 hours per week,5,50.0
262,Free Cash Flow Analysis,36085,Self-paced on your time,Columbia University,Daniel Wolfenzon,Introductory,Business & Management,English,English,3–4 hours per week,5,225.0
263,Lean Production,55926,Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,3–4 hours per week,6,99.0
264,Introduction to Algebra,131197,Self-paced on your time,SchoolYourself,Zach Wissner-Gross-John Lee-Vivek Venkatachalam-Kenny Peng,Introductory,Math,English,English,4–6 hours per week,4,139.0
265,"LaTeX for Students, Engineers, and Scientists",11823,Self-paced on your time,IITBombay,Deepak B. Phatak-Firuza Karmali (Aibara)-Nagesh Karmali,Introductory,Engineering,English,English,3–4 hours per week,7,139.0
266,Leading With Effective Communication (Inclusive Leadership Training),107770,Self-paced on your time,Catalyst,Dnika J. Travis-Alixandra Pollack-Jeff Barth,Introductory,Communication,English,English,1–2 hours per week,4,50.0
267,Anatomy: Musculoskeletal and Integumentary Systems,51969,Self-paced on your time,The University of Michigan,Kathleen Alsup,Introductory,Biology & Life Sciences,English,English,2–3 hours per week,4,49.0
268,"Inglés empresarial: ventas, gestión y liderazgo",10897,Instructor-led on a course schedule,Universidades Anáhuac,Judith Margarete Towle Wachenheim-Isabel Rosado Richard-Jorge Ernesto Peniche Rosales-David John Phillips,Introductory,Business & Management,English,"English, Español",5–8 hours per week,4,49.0
269,Business Strategy from Wharton: Competitive Advantage,26675,Self-paced on your time,The Wharton School of the University of Pennsylvania,Nicolaj Siggelkow,Intermediate,Business & Management,English,English,3–4 hours per week,6,199.0
270,Inteligencia emocional para el liderazgo efectivo y colaboración,14726,Self-paced on your time,Universidades Anáhuac,Psic. Vanessa Arrigunaga Chico-Laura Villarreal González,Introductory,Social Sciences,Español,Español,4–5 hours per week,4,49.0
271,Introducción al desarrollo de aplicaciones web,27757,Self-paced on your time,Universidad Autónoma de Madrid,Ruth Cobos Pérez-Álvaro Ortigosa-Roberto Latorre Camino,Introductory,Computer Science,Español,Español,4–5 hours per week,5,49.0
272,"Six Sigma: Analyze, Improve, Control",56016,Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,3–4 hours per week,8,99.0
273,Introducción a la inteligencia emocional,18830,Self-paced on your time,Universidades Anáhuac,Pped. Silvia Josefina Axle Echanove-Psic. Alejandro González Novelo-M.C. Jorge Carlos Hevia Orozco,Introductory,Social Sciences,Español,Español,3–5 hours per week,4,49.0
274,AP® Microeconomics,53664,Self-paced on your time,Massachusetts Institute of Technology,Jonathan Gruber,Introductory,Economics & Finance,English,English,3–4 hours per week,12,49.0
275,Engineering Calculus and Differential Equations,21535,Self-paced on your time,University of Hong Kong,Kwok Wing Chow-Kai Man Tsang,Introductory,Math,English,English,3–6 hours per week,6,50.0
276,Linear Algebra - Foundations to Frontiers,88570,Self-paced on your time,The University of Texas at Austin,Maggie Myers-Robert van de Geijn,Intermediate,Computer Science,English,English,6–10 hours per week,15,49.0
277,Habilidades de negociación y comunicación efectiva,19614,Self-paced on your time,Tecnológico de Monterrey,Daniel Meade Monteverde-Luz María Vargas Reguer,Introductory,Business & Management,Español,Español,5–8 hours per week,4,149.0
278,Effective Communication for Today's Leader,8862,Self-paced on your time,Tecnológico de Monterrey,Carlos Alberto Tena Sánchez,Intermediate,Business & Management,English,English,5–8 hours per week,4,149.0
279,Electric Cars: Technology,40972,Self-paced on your time,Delft University of Technology,Pavol Bauer-Auke Hoekstra-Gautham Ram-Marnix Wagemaker,Intermediate,Engineering,English,English,4–5 hours per week,4,50.0
280,Site Planning Online,12948,Self-paced on your time,Massachusetts Institute of Technology,Gary Hack-Mary Anne Ocampo,Intermediate,Design,English,English,4–6 hours per week,10,99.0
281,Macroeconometric Forecasting,69358,Self-paced on your time,The International Monetary Fund,Adolfo Barajas-Adina Popescu-Sam Ouliaris-Reda Cherif,Intermediate,Economics & Finance,English,English,8–10 hours per week,9,25.0
282,Administración pública y fiscal: cómo se gestiona un gobierno,49189,Self-paced on your time,Inter-American Development Bank,Pedro Farias-Mariano Lafuente-Miguel Porrúa-Carlos Pimenta,Introductory,Economics & Finance,Español,"Español, Español",3–4 hours per week,10,25.0
283,Fundamentals of Red Hat Enterprise Linux,53788,Self-paced on your time,Red Hat,Ricardo da Costa,Introductory,Computer Science,English,English,1–3 hours per week,9,99.0
284,Algorithms,61722,Self-paced on your time,IITBombay,Deepak B. Phatak-Nagesh Karmali-Ajit Diwan-Ganesh Ramakrishnan,Intermediate,Computer Science,English,English,6–8 hours per week,6,149.0
285,Calculus Applied!,54976,Self-paced on your time,Harvard University,John Wesley Cain-Juliana Belding-Peter M. Garfield,Intermediate,Math,English,English,3–6 hours per week,10,99.0
286,Precalculus,55576,Self-paced on your time,Arizona State University,Adrian Sannier-Sue McClure,Intermediate,Math,English,English,9–10 hours per week,15,49.0
287,Fundamentos de anatomía y técnica quirúrgica básica,12133,Instructor-led on a course schedule,Universidad del Rosario,Felipe González-Ricardo Miguel Luque Bernal,Introductory,Medicine,Español,Español,4–6 hours per week,4,49.0
288,Business Communications,60713,Self-paced on your time,University of British Columbia,Marlisse Silver Sweeney,Introductory,Business & Management,English,English,3–5 hours per week,6,150.0
289,Italian Language and Culture: Intermediate (2019-2020),35058,Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Intermediate,Language,Italiano,Italiano,3–5 hours per week,12,49.0
290,International Women's Health and Human Rights,9796,Self-paced on your time,Stanford University,Anne Firth Murray,Introductory,Social Sciences,English,English,1–5 hours per week,10,50.0
291,Blockchain: Understanding Its Uses and Implications,66769,Self-paced on your time,The Linux Foundation,Ernesto Lee-Kris Bennett-Rosa Santos,Introductory,Business & Management,English,English,2–3 hours per week,14,199.0
292,"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",22366,Self-paced on your time,Imperial College London,Philip Ramsden-Phil Chaffe,Intermediate,Math,English,English,2–4 hours per week,7,49.0
293,Blockchain Technology,55376,Self-paced on your time,"University of California, Berkeley",Rustie Lin-Nadir Akhtar,Intermediate,Computer Science,English,English,3–5 hours per week,6,99.0
294,Basics of Power BI,8314,Self-paced on your time,Rolls-Royce,James Hallam,Introductory,Data Analysis & Statistics,English,English,1–5 hours per week,2,49.0
295,Preparing to Network in English,34337,Self-paced on your time,University of Washington,Joel Ozretich-Richard Moore,Introductory,Language,English,English,3–5 hours per week,6,149.0
296,Mandarin Chinese Essentials,36665,Self-paced on your time,MandarinX,Estella Chen,Introductory,Language,English,English,4–10 hours per week,5,99.0
297,Human Rights: The Rights of Refugees,84270,Self-paced on your time,Amnesty International,Amnesty International,Introductory,Humanities,English,English,3–5 hours per week,3,49.0
298,What do Architects and Urban Planners do?,11046,Self-paced on your time,Wits University,Ariane Janse van Rensburg-Mawabo Msingaphantsi-Ludwig Hansen-Johan N Prinsloo,Introductory,Architecture,English,English,2–3 hours per week,3,49.0
299,"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723,Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,2–4 hours per week,4,49.0
300,Negotiation Skills and Effective Communication,8146,Self-paced on your time,Tecnológico de Monterrey,Luz María Vargas Reguer-Daniel Meade Monteverde,Intermediate,Business & Management,English,English,5–8 hours per week,4,149.0
301,AP® English Literature & Composition – Part 1: Stories,15650,Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,4–5 hours per week,7,49.0
302,"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710,Self-paced on your time,IsraelX-Tel Aviv University,Jonathan Gershoni,Introductory,Medicine,English,English,2–3 hours per week,7,149.0
303,Alianzas: un vehículo para lograr el desarrollo sostenible,17554,Self-paced on your time,Inter-American Development Bank,Bernardo Guillamón-Matías Bendersky-María Cortés Puch-Guido Schmidt-Traub,Introductory,Social Sciences,Español,English,3–4 hours per week,10,25.0
304,Designing and Creating Skirts,13954,Self-paced on your time,The Hong Kong Polytechnic University,Tanya Dove-Kristina Shin-Jalice Cheng-Marco Rebora,Introductory,Design,English,English,3–5 hours per week,5,99.0
305,Cómo Aprender Online,7958,Self-paced on your time,edX,Nina Huntemann-Robyn Belair-Ben Piscopo-Marina Pastor,Introductory,Education & Teacher Training,Español,"English, Español",2–3 hours per week,2,49.0
306,Computing in Python II: Control Structures,31511,Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,9–10 hours per week,5,99.0
307,Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,29614,Self-paced on your time,Universidad Galileo,Jojo Giuffra-Miguel Morales-Rocael Hernández,Introductory,Communication,Español,Español,3–4 hours per week,5,49.0
308,Machine Learning Fundamentals,82008,Self-paced on your time,"The University of California, San Diego",Sanjoy Dasgupta,Advanced,Data Analysis & Statistics,English,English,8–10 hours per week,10,350.0
309,Pre-University Calculus,103224,Self-paced on your time,Delft University of Technology,Bart van den Dries-Roelof Koekoek-Wolter Groenevelt-Fokko van de Bult,Introductory,Math,English,English,6–8 hours per week,8,50.0
310,Tsinghua Chinese: Start Talking with 1.3 Billion People,58834,Self-paced on your time,Tsinghua University,Xia Ding-Xiaoning Wang-Li Lu-Yuan Li,Introductory,Language,English,English,2–3 hours per week,6,49.0
311,Deep Learning with Python and PyTorch,36195,Self-paced on your time,IBM,Joseph Santarcangelo,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,6,99.0
312,Diseña presentaciones eficaces con Powerpoint,36663,Self-paced on your time,Universitat Politècnica de Valencia,Miguel Ferrando Bataller-Ignacio Despujol-Linda Castañeda Quintero,Introductory,Computer Science,Español,Español,4–10 hours per week,3,50.0
313,World of Wine: From Grape to Glass,81839,Self-paced on your time,University of Adelaide,Kerry Wilkinson-Cassandra Collins-David Jeffery-Paul Grbin,Introductory,Science,English,English,2–3 hours per week,6,199.0
314,Sustainable Cities,16619,Self-paced on your time,SDG Academy,Aromar Revi-Joshua Castellino-Jeffrey D. Sachs-Susan Parnell,Intermediate,Environmental Studies,English,"English, हिन्दी",4–6 hours per week,9,49.0
315,Introduction to Developmental Psychology,38060,Self-paced on your time,The University of Queensland,Blake McKimmie-Virginia Slaughter-Mark Nielsen-Nicole Nelson,Introductory,Humanities,English,English,1–2 hours per week,8,99.0
316,Creativity & Entrepreneurship,69413,Self-paced on your time,Berklee College of Music,Panos Panay,Introductory,Business & Management,English,English,3–5 hours per week,4,49.0
317,College Algebra and Problem Solving,103010,Self-paced on your time,Arizona State University,Adrian Sannier-Sue McClure,Introductory,Math,English,English,8–9 hours per week,15,49.0
318,Academic writing for clarity and meaning,16220,Self-paced on your time,Wits University,Peter Alkema-Nomusa Mazonde-Terri Carmichael,Introductory,Education & Teacher Training,English,English,2–3 hours per week,2,49.0
319,Financial Development and Financial Inclusion,13853,Self-paced on your time,The International Monetary Fund,Ralph Chami-Sami Ben Naceur-Dyna Heng-Dmitriy Rozhkov,Intermediate,Economics & Finance,English,English,8–10 hours per week,7,25.0
320,Global Public Health,17273,Self-paced on your time,SDG Academy,K. Srinath Reddy-Richard Cash-Vinod Paul-Rob Yates,Intermediate,Health & Safety,English,English,4–6 hours per week,10,49.0
321,Embedded Systems - Shape The World: Microcontroller Input/Output,69182,Self-paced on your time,The University of Texas at Austin,Jonathan Valvano-Ramesh Yerraballi,Intermediate,Computer Science,English,English,8–10 hours per week,8,49.0
322,Introduction to Animal Behaviour,42135,Self-paced on your time,Wageningen University & Research,Marc Naguib-James Savage-Lysanne Snijders,Introductory,Biology & Life Sciences,English,English,4–6 hours per week,6,49.0
323,Circular Economy: An Introduction,50240,Self-paced on your time,Delft University of Technology,Ken Webster-Conny Bakker-David Peck-Ester van der Voet,Introductory,Business & Management,English,English,3–6 hours per week,7,50.0
324,Public Financial Management,23288,Self-paced on your time,The International Monetary Fund,Staff of the Fiscal Affairs Department,Intermediate,Economics & Finance,English,English,4–6 hours per week,8,25.0
325,Anatomy: Human Neuroanatomy,49319,Self-paced on your time,The University of Michigan,Kelli A. Sullivan,Introductory,Biology & Life Sciences,English,English,3–4 hours per week,8,49.0
326,Android: Introducción a la Programación,85786,Self-paced on your time,Universitat Politècnica de Valencia,Jesús Tomás Gironés,Introductory,Computer Science,Español,Español,4–5 hours per week,10,50.0
327,The Ancient Greek Hero,51744,Instructor-led on a course schedule,Harvard University,Gregory Nagy-Leonard Muellner-Kevin McGrath-Keith DeStone,Introductory,Humanities,English,English,8–12 hours per week,18,99.0
328,Agile Leadership Principles and Practices,31838,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,2–3 hours per week,4,199.0
329,How to Code: Simple Data,98113,Self-paced on your time,University of British Columbia,Gregor Kiczales,Introductory,Computer Science,English,English,2–3 hours per week,7,125.0
330,Cybersecurity and Privacy in the IoT,21440,Self-paced on your time,Curtin University,Iain Murray AM-Nazanin Mohammadi-Eleanor Sandry,Introductory,Computer Science,English,English,4–6 hours per week,5,199.0
331,Strategic Management,71085,Self-paced on your time,Indian Institute of Management Bangalore,P D Jose-Rejie George Pallathita-Sai Yayavaram,Introductory,Business & Management,English,"English, हिन्दी",3–5 hours per week,5,150.0
332,Introducción a la ciencia de datos y sus aplicaciones,7303,Self-paced on your time,IBM,Alex Aklson,Introductory,Data Analysis & Statistics,Español,Español,3–6 hours per week,6,39.0
333,"Biochemistry: Biomolecules, Methods, and Mechanisms",18692,Instructor-led on a course schedule,Massachusetts Institute of Technology,Michael Yaffe-Mary Ellen Wiltrout-Darcy Gordon-Monika Avello,Intermediate,Biology & Life Sciences,English,English,3–6 hours per week,12,150.0
334,Astronomía Virtual,10500,Self-paced on your time,Universidad Nacional de Córdoba,Guillermo Goldes,Introductory,Science,Español,"English, Español",5–7 hours per week,7,29.0
335,Nutrition and Cancer,27144,Self-paced on your time,Wageningen University & Research,Ellen Kampman-Fränzel van Duijnhoven-Dieuwertje Kok,Intermediate,Food & Nutrition,English,English,6–8 hours per week,5,99.0
336,Build your very first iOS app,31570,Instructor-led on a course schedule,Curtin University,Dr David A. McMeekin-Tristan W. Reed,Introductory,Computer Science,English,English,8–10 hours per week,8,149.0
337,Object-Oriented Programming,93633,Self-paced on your time,IITBombay,Deepak B. Phatak-Supratik Chakraborty-Nagesh Karmali-Firuza Karmali (Aibara),Introductory,Computer Science,English,English,6–8 hours per week,4,149.0
338,Introduction to Jenkins,7233,Self-paced on your time,The Linux Foundation,Deepika Gautam,Introductory,Computer Science,English,English,2–3 hours per week,10,199.0
339,Conducting an Informational Interview,15594,Self-paced on your time,University of Washington,Joel Ozretich-Richard Moore,Introductory,Language,English,English,3–5 hours per week,8,99.0
340,Liderazgo y comportamiento organizacional,21419,Self-paced on your time,Tecnológico de Monterrey,Elliott Kruse,Introductory,Business & Management,Español,Español,5–8 hours per week,4,149.0
341,Creative Coding,18660,Instructor-led on a course schedule,New York University,Kevin Siwoff,Introductory,Design,English,English,8–10 hours per week,14,249.0
342,Análisis estadístico con Excel,22717,Self-paced on your time,Universidad Galileo,Samuel Reyes Gómez,Introductory,Data Analysis & Statistics,Español,Español,3–5 hours per week,4,49.0
343,Introducción a la Ingeniería del Software,17931,Self-paced on your time,Universidad Autónoma de Madrid,Miren Idoia Alarcón Rodríguez,Introductory,Computer Science,Español,Español,4–5 hours per week,5,49.0
344,Computer Graphics,98553,Self-paced on your time,"The University of California, San Diego",Ravi Ramamoorthi,Intermediate,Computer Science,English,"English, 中文",6–12 hours per week,6,99.0
345,Data Science: Computational Thinking with Python,78232,Self-paced on your time,"University of California, Berkeley",Ani Adhikari-John DeNero-David Wagner,Introductory,Computer Science,English,English,4–6 hours per week,5,199.0
346,Comunicación efectiva para el líder actual,18470,Self-paced on your time,Tecnológico de Monterrey,Carlos Alberto Tena Sánchez,Introductory,Communication,Español,Español,5–8 hours per week,4,149.0
347,Debate y argumentación,10954,Self-paced on your time,Universidad del Rosario,Diego Fernando Duarte Leal,Introductory,Humanities,Español,Español,4–6 hours per week,4,49.0
348,Deep Learning with Tensorflow,37564,Self-paced on your time,IBM,Saeed Aghabozorgi,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,5,99.0
349,Machine Learning (aprendizaje automático) con Python: una introducción práctica,39155,Self-paced on your time,IBM,Saeed Aghabozorgi-Adrián Tozzi,Introductory,Computer Science,Español,Español,4–6 hours per week,5,49.0
350,Essential Human Biology: Cells and Tissues,67961,Self-paced on your time,University of Adelaide,Mario Ricci-Rachel Gibson-Sophie Karanicolas-​Catherine Snelling,Introductory,Medicine,English,English,2–3 hours per week,5,169.0
351,"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告",35720,Self-paced on your time,Tsinghua University,Xiaohong Guan,Intermediate,Communication,English,English,2–3 hours per week,5,49.0
352,Computing in Python III: Data Structures,27239,Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,9–10 hours per week,5,99.0
353,Introduction to Internet of Things (IoT),6703,Self-paced on your time,Rolls-Royce,James Hallam,Introductory,Data Analysis & Statistics,English,English,1–5 hours per week,2,49.0
354,Nutrition and Health: Food Risks,51493,Self-paced on your time,Wageningen University & Research,Ivonne M.C.M. Rietjens-Marcel H. Zwietering-Martine Reij-Jochem Louisse,Introductory,Biology & Life Sciences,English,English,6–8 hours per week,8,49.0
355,Mechanics: Kinematics and Dynamics,35529,Self-paced on your time,Massachusetts Institute of Technology,Deepto Chakrabarty-Peter Dourmashkin-Anna Frebel-Analia Barrantes,Intermediate,Physics,English,English,10–12 hours per week,12,49.0
356,Storytelling for Social Change,30313,Self-paced on your time,The University of Michigan,Anita Gonzalez,Introductory,Communication,English,English,1–3 hours per week,5,49.0
357,Introduction to Data Analytics for Managers,39113,Self-paced on your time,The University of Michigan,Amitabh Sinha-Sanjeev Kumar,Introductory,Business & Management,English,English,2–4 hours per week,6,49.0
358,Qualitative Research Methods: Conversational Interviewing,21972,Self-paced on your time,Massachusetts Institute of Technology,Susan Silbey-Meghan Perdue,Intermediate,Humanities,English,English,2–3 hours per week,3,49.0
359,International Project Management,45145,Self-paced on your time,Rochester Institute of Technology,Celine Gullace-Leonie Fernandes,Advanced,Business & Management,English,English,8–12 hours per week,9,150.0
360,Software Development Fundamentals,51402,Self-paced on your time,University of Pennsylvania,Arvind Bhusnurmath,Intermediate,Computer Science,English,English,6–8 hours per week,4,149.0
361,"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",17484,Self-paced on your time,Harvard University,Thomas Forrest Kelly,Introductory,Humanities,English,English,3–5 hours per week,3,49.0
362,Critical Thinking & Problem Solving,6558,Self-paced on your time,Rochester Institute of Technology,Mike Johansson,Introductory,Communication,English,English,4–6 hours per week,3,199.0
363,Data Analysis Essentials,42262,Self-paced on your time,Imperial College Business School-Imperial College London,David Lefevre-Catarina Sismeiro,Introductory,Business & Management,English,English,4–6 hours per week,6,79.0
364,Master Control in Supply Chain Management and Logistics,31326,Self-paced on your time,Chalmers University of Technology,Per Olof Arnäs-Ola Hultkrantz,Introductory,Business & Management,English,English,4–5 hours per week,7,49.0
365,Work and Employment for a Sustainable Future,6528,Self-paced on your time,SDG Academy,Jeffrey D. Sachs-Jeemol Unni-Martha Chen-Kailash Satyarthi,Intermediate,Economics & Finance,English,English,2–4 hours per week,6,49.0
366,Foundations of Data Structures,54075,Self-paced on your time,IITBombay,Deepak B. Phatak-Nagesh Karmali-Ajit Diwan-Ganesh Ramakrishnan,Intermediate,Computer Science,English,English,6–8 hours per week,6,149.0
367,"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",31024,Self-paced on your time,The International Monetary Fund,Paolo Dudine-Adolfo Barajas-Eric Verreydt-Luisa Zanforlin,Intermediate,Economics & Finance,English,English,8–10 hours per week,6,25.0
368,IoT System Design: Software and Hardware Integration,13608,Self-paced on your time,Waseda University,Keiji Kimura-Nozomu Togawa-Yoshio Miki,Intermediate,Computer Science,English,English,4–6 hours per week,4,99.0
369,English for Doing Business in Asia – Writing,44252,Self-paced on your time,The Hong Kong University of Science and Technology,Sean McMinn-Delian Gaskell,Introductory,Humanities,English,English,3–4 hours per week,7,60.0
370,Working in Teams: A Practical Guide,43981,Self-paced on your time,The University of Queensland,Lydia Kavanagh-David Neil,Introductory,Humanities,English,English,6–8 hours per week,4,49.0
371,Introducción a los encofrados y las cimbras en obra civil y edificación,16029,Self-paced on your time,Universitat Politècnica de Valencia,Víctor Yepes Piqueras,Introductory,Engineering,Español,Español,2–3 hours per week,4,50.0
372,AI Chatbots without Programming,35440,Self-paced on your time,IBM,Antonio Cangiano,Introductory,Computer Science,English,English,2–4 hours per week,2,99.0
373,Introducción a la Ciencia de Datos y el Big Data,16268,Self-paced on your time,Tecnológico de Monterrey,Jesús Aguilar,Intermediate,Data Analysis & Statistics,Español,Español,3–5 hours per week,4,49.0
374,Just Money: Banking as if Society Mattered,25553,Self-paced on your time,Massachusetts Institute of Technology,J. Phillip Thompson-Lily Steponaitis-Katrin Kaeufer-Alice Maggio,Introductory,Business & Management,English,English,3–4 hours per week,16,49.0
375,Introducción a R,6431,Self-paced on your time,Universidades Anáhuac,César Iván Cobos May-Víctor Cruz Morales,Introductory,Data Analysis & Statistics,Español,Español,5–8 hours per week,4,49.0
376,Computing in Python IV: Objects & Algorithms,28112,Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,9–10 hours per week,5,99.0
